chapter	from	witness	verdict	context
preface	classify	classify	confirm	repress the wish to classify the psalms and reduce
preface	redacteur	redacteur	confirm	the inspired collector and redacteur of the canon so
preface	denominatio	denominatio	confirm	Psalms of David This denominatio a potiori is entirely
preface	potiori	potiori	confirm	David This denominatio a potiori is entirely correct as
1	uitfol		nowitness	by the verdant fi uitfol tree shall do he
1	xmder	under	divergent	sinners the same persons xmder another name as in
1	Imows	knows	divergent	had said the Lord Imows whither they are going
10	lilie		nowitness	pair or double psalm lilie the first and second
10	jy		nowitness	seems to point out jy T as the subject
10	jy	iy	handsoff	indignant sorrow The adjective jy means afflicted suffering whether
10	Gx		nowitness	seek i e seek Gx d in prayer Ps
10	ivays	ivays	confirm	to the sinner His ivays are firm or will
10	icill		nowitness	for his enemies he icill puf at them as
10	puf		nowitness	his enemies he icill puf at them as a
10	TtD		nowitness	follow The Hebrew word TtD to which the older
10	injmy	injury	divergent	preceding it denotes injustice injmy to others both by
10	HD	robp	divergent	The word translated sufferer HD tl for Vh is
10	tl		nowitness	word translated sufferer HD tl for Vh is peculiar
10	Vh	r	divergent	sufferer HD tl for Vh is peculiar to this
10	deti	den	divergent	the foregoing verse His deti his shelter covert hiding
10	plm		nowitness	th second by a plm al proper that of
10	af	affirmation	divergent	a literal and direct af rmation tiiat he does
10	rmation		nowitness	literal and direct af rmation tiiat he does not
10	tiiat		nowitness	and direct af rmation tiiat he does not see
10	ise		nowitness	continue for ever Ai ise Jehovah Almighty God raise
10	suferei	sufferers	divergent	thy hand Forget not suferei s or the wretched
10	oflFby	off	divergent	last clause to wipe oflFby shewing that he does
10	everently		nowitness	not only speaks in everently of him but insults
10	iavestigation		nowitness	includes the ideas of iavestigation and exaction Thou wilt
10	vdlt	wilt	divergent	the bad man thou vdlt seek for his wickedness
10	vn		nowitness	he had said Thou vn t find nothing as
10	Grod's		nowitness	represents the destruction of Grod's enemies as already past
10	yij	fi	divergent	those translated to defy yij and earth Y' This
10	cestas	cestas	confirm	Gen viii cEstus and cestas and in that of
10	oves	ores	handsoff	that of Gen xii oves et loves
100	difi	differ	divergent	so unlike in English difi er only in a
100	linjJ	vnte	divergent	construction of the pronoun linjJ we with iyoyl his
100	iyoyl	nto	divergent	pronoun linjJ we with iyoyl his people in Ps
100	iniH	sprin	divergent	the verb to thank iniH with its derivative noun
100	SDT		nowitness	psalm for thanksgiving n' SDT For good is Jehovah
101	integritas	integritas	confirm	of his purpose Integrity integritas completeness of my heart
101	urill	I	divergent	which he afterwards adverts urill not set before my
101	knoio	know	divergent	evil I will not knoio Crooked froward or perverse
101	translared		nowitness	Ps XV The verb translared slandering occurs in any
101	ovwithihevQ		nowitness	the faithful literally in ovwithihevQ See above on Ps
101	comparePs		nowitness	on Ps xxxiv and comparePs xxxii My eyes are
101	iie	me	divergent	no other Shall serve iie be employed by me
102	Thoiiwilt		nowitness	being so to do Thoiiwilt arise wilt have mercy
102	unddust		nowitness	Ps lxii lxxxv Stones unddust are here put for
102	prceterita		nowitness	glory These are not prceterita prophetica describing future events
102	prophetica		nowitness	These are not prceterita prophetica describing future events as
102	destitide		nowitness	the prayer of the destitide and has not despised
102	I'his	This	divergent	everything impoverished entirely destitute I'his shall be written for
102	ocation		nowitness	etymology properly denotes sufi ocation To loose literally to
102	foi	forms	divergent	the primitive and derivative foi ms of the Hebrew
102	ms		nowitness	primitive and derivative foi ms of the Hebrew verb
102	Nin	X	divergent	art the same giving Nin the same sense with
102	auro'j	o	divergent	sense with the Greek auro'j which is actually used
103	vv	with	divergent	manifested in his dealings vv ith his people ver
103	ith		nowitness	in his dealings vv ith his people ver He
103	hi'st	first	divergent	the inscription in the hi'st clause chiefly consist in
103	psakn	psalm	divergent	the writer of the psakn itself a preposterous inversion
103	anji		nowitness	denoting the inside of anji hing and more especially
103	BB		nowitness	further in Ps xviii BB SS The last word
103	SS		nowitness	in Ps xviii BB SS The last word in
103	iin	Cind	divergent	the twofold sense of iin i the word translated
103	evii		nowitness	lxiii and below Ps evii and compare Isa lviii
103	rtdvfMiav		nowitness	Vulgate have desire i' rtdvfMiav desiderium a frequent sense
103	desiderium		nowitness	have desire i' rtdvfMiav desiderium a frequent sense of
103	ornamentum	or	divergent	Jerome translates it literally ornamentum The word then is
103	impai	imparted	divergent	lxvii The knowledge thus impai ted was experimental or
103	tlae	the	divergent	this the terms of tlae description are borrowed from
103	harbouring		nowitness	in the sense of harbouring a grudge or cherishing
103	origiiM	original	divergent	i Jer iii The origiiM passage is a prohibition
103	HiOIl	nps	divergent	as the like form HiOIl trusted is equivalent to
103	cai	nuv	divergent	whole the universe to cai The same phrase is
103	heroes	heroes	confirm	to warriors or conquerors heroes of strength or mighty
103	heroes	heroes	confirm	of strength or mighty heroes See above on Ps
103	auliendo	audicndo	badwitness	force of a gerund auliendo auscultando by listening to
103	auscultando		nowitness	of a gerund auliendo auscultando by listening to the
104	hj	hypothesis	divergent	the Babylonish exile This hj othesis he thinks accounts
104	othesis		nowitness	Babylonish exile This hj othesis he thinks accounts for
104	b'Trtgff		nowitness	New Testament of the b'Trtgff ov as a place
104	ov		nowitness	Testament of the b'Trtgff ov as a place of
104	yerh	verb	divergent	context and especially the yerh founded than expressed by
