vol	page	chapters	suspects	examples
v2	275	53	27	xkijQovofiqaei noMov dispertiam ei plurimos Martini Rosenm ller
v1	184	10	26	pxx UVoyrfff XQIGIV TTTCO Mai Verus arceant pauperes
v1	201	10	26	ligni reliqua ligna avrav Horace nos numerus sumus
v1	245	13	26	fiBiBs caliginosum OQOV nedtvov Zagrian bij iKa'n avol
v1	317	16	26	njoa quotquot ganz jammre muros colloquemini iwm miittji
v1	349	19	26	wx rvoix tn bx ts Sethos Psammetichus Sioi
v1	30	2	26	idp latny ds fidrcay diis nihili digiti ipsius
v1	430	25	26	Rosenm ller Virgil oppida muris cincta Capellus England
v1	51	3,introduction	26	Schroeder Commentarius philologico criticus vestitu mulierum Hebraearum Jesai
v1	158	9	26	armour armour Diodati jxt armour xb equipped armour
v1	194	10	25	moenia xsv SKS sicut colliguntur reciperem auferrem wie
v1	254	13	25	SPJ orbis habitabilis frugiferam terram Dei fiK universus
v1	285	14	25	sepulchres sepulchres aiab obvolutus interfecti gladio sepulchres Tia
v1	510	30	25	niTsra oratio pronunciata meridiano hippopotamo tpv nfcm gibbum
v1	543	33	25	rrn rsi Gn personae pn possessio salutaris cfejos
v1	587	35	25	ixa ceux desquels TEternel paye rancon nbis nnair
v2	94	44	25	nisi demens fellowworshippers Rosenm ller taixa aixa ETX
v2	256	53	25	Der ttS nto Strabo rem loquuntur regno cujus
v1	94	6	25	tamen intelligetis axojj ctxowm tt KnovTe tttyezs auditeaudientes
v1	186	10	24	instrurmint Asshur Assur veni vae vobis Assyrii wehe
v1	470	28	24	reveller's pn peOvovzes avev Vor HICF COTOI wxa
v2	22	40,later-introduction	24	pflor oi niis Lehrgebaude frugalior oblationis ttasnn amsuchan
v1	63	5,introduction	24	hasled twentysixth cour tesy irt TT Vorsprung Schreckhorn
v2	263	53	24	Scythia Greece xal didfpoQOi rrjg nku ol TQOTTOI
v2	364	59	24	Mai JTJSTJ noob ia venerit flumus viohntus Domini
v1	93	6	24	Isend dicit praecipiat sed proponit audientibus optionem voluntas
v2	420	63	24	ft Melek iix ft omni eornm tribulatus ov
v1	177	9	24	rst atofioi vom Argen vom Bosen ysi ins
v1	209	10	23	Oreb Oreb M'iaS scutica Horace waa rtuJx Syro
v1	250	13	23	iBiaa omne aegrorum mortalium Ovid cecidere illis animique
v1	253	13	23	ysotleafi sidera QIWV sein lexx Hebr seq Bilder
v1	278	14	23	Von Rosenm ller bbn swacpoQog Tertullian rsiaa yixb
v1	292	14	23	Tnrx iiurx ern lES'i Armenia Greece Thrace Illyria
v1	466	27	23	tion aan D'naiK Ws lapj rpBSO Saepe mihi
v1	628	37	23	Nisroch Ararat Esarhaddon selfdefence Nisroch Berosus Ardumusanus Abydenus
v2	8	40	23	Celeriter omnes Gall'ia civiiates perfertur atque illustrior incidit
v2	91	44	23	dr ndvTKiv rtletrj Zei TZ WTOC tytv Zsvs
v1	66	5,introduction	23	faciendum amplius vinae meae noch meinem Weinberge zu
v1	73	5,introduction	23	revellers Vixftj bsttj tB burialplace Holle Hohle adqs
v1	75	5	23	tiiYi bxin bx Deus ille ille Deus fortissimus
v2	267	53	23	sros takejuuKay ixs ckert Zwingle causa citraque judicium
v1	4	1	22	ovx tyvw ov GwqxEv Mai filii degeneres dwrj
v1	18	1,introduction	22	bs Arbeit nehmen gegen auf lauterste xa otQov
v1	326	17	22	acervus ruinae Rezon Benhadad Hazael Rezon Omnis docet
v1	564	34	22	op nefaxav oQvsa onocrotalus fyivoi Petra Burckhardt Tafyle
v1	607	37	22	Gozan Haran Rezeph Telassarl DSmx vibx iicx Gozan
v2	162	48	22	personae TV Athanasius CEcolampadius ft Brentius fcb fin'rrj
v1	121	7	22	anotherchild foreseen rnn Rosenrmiller rt srai Hagar ve
v1	255	13	21	TQ Coromandel Huet tsw PBiat TIBIK tB dro
v1	331	17	21	looti Ashtoreth erectas operi manuum hiBSa mrQTEtt ittJx
v1	332	17	21	raits Horesh Harosheth goim Anfevda AvtQft EJin ol
v1	39	3	21	Iff vowtt iG vovGav Aqu SQeurfta xcu ZQEIGHOV
v1	52	3	21	boxes fascinum Eng Mia Armspangen cts ybn acus
v2	178	49	21	nrj bbo Philadelphia facie aifeHibjection France France nlbx
v2	219	51	21	BS fr IBS Lehrgebaude Kritische Grammatik ofch Rosenm
v2	306	55	21	Oecolampadius Rosenm ller Viae Dei vel quibus ipse
v1	16	1,introduction	20	undergone ig urbs civitas xba Nor'dh iveaJccned scelus
v1	191	10	20	xbn Idov bx rpaxs XSIQQTTODJTOIS sidotioii idolis simulacris
v1	215	10	20	Madmenah Gebimflee Madmen Madmannah latij'j Joshebehaggebim fiisji JiPSh
v1	318	16	20	sx WBIIU ossthe xaTanivovTss ia pppniB overcame tt
v1	320	16	20	ronx tflebo fletu jTns inebriabo irrigabo uberstrome pp
v1	372	20	20	Sfia latfi Mb gefangene Egypten vertrieoene Mohrenland gtl
v1	411	23	20	ttJa mn xb csn HT asaa iiBS diixb
v1	522	30	20	Deus omni laude dignissimus Raymund Martini erschallet echoes
v1	580	35	20	Calovius indisposi tion quibus intelligere licebit quamquam propriam
v2	17	40,later-introduction	20	JLo zu achten ia im pendens staterae pntf
v2	19	40,later-introduction	20	pN njr rftis IM ft Hype rion sint
v2	88	44	20	sp pn utero esse coepisti liti vm nemo
v1	70	5,introduction	20	aio yxa px ir Eng Pesh nxE Horace
v2	247	52	20	Procopius morft pp Comm Bahrdt Staudlin Akiba Bolten
v1	114	7	20	Isenbiehl Bauer Steudel stt Hensler Faber Pluschke Shearjashub
v1	155	9	20	tj Thouhast n'a ia Christol pt nbian InMi
v1	172	9	20	jTSfifi OQOS ZVooV Tbs aaar faaaxedadei tumultum vertet
v1	179	9	20	urx rapiet quisque isaas ib ms res cognatorum
v1	183	10	19	pp counsellors JCFJS jubent scribere Ppn ygdcpovGi ndvog
v1	195	10	19	xBm bs sm trotzen briistet cpn oo av
v1	231	11	19	pre Jephtha Baasha Ahab Jehoash ib rviin nnbs
v1	422	24	19	merryhearted Rosenm ller revellers psm pxx irnp ip
v1	424	24	19	ibns taja Bi ja Jarch thejires nx Urim
v1	44	3,introduction	19	refisal Pesh Hn Hk Hn Kn uhn medicus
v1	524	30	19	pm rro nw nns qs SjSta fS Rosenm
v2	13	40,later-introduction	19	ivcighed bs tribus digitis naaav yJj Lehrgebaude mdkkeph
v2	15	40,later-introduction	19	jstn insn Rosenm ller counsellor counsellor counsellor counsellor
v2	24	40	19	ns aj yu ov yvmasa oi xoiJ wollt
v2	62	42	19	rt utparturientem viptram desolabo rt nxs nisx DCIU
v2	97	44	19	himstlf mittit Libanum homines fuerunt necessario supplenda constructioncs
v1	64	5,introduction	19	SoreJc Sorek toiverin lacus eivi Sedulius Labruscam placidis
v2	203	50	19	iJsb ylMavav nai eia succour MS ynoffTijgtfftti sustentare
v2	352	59	19	ovdiig laltl dixaia invocet justitiam willino Hensler xata'co
v1	148	8	19	spiritmasters vo ft xb nax xb xbn xbn
v1	17	1,introduction	18	avTanodopa Symm iot dem Waisen halten kein Gericht
v1	190	10	18	tence regna nihili rov eidottov regna idoli des
v1	310	15	18	Dimon Dimon Dimon Dimon tt Dimon Arnon Megiddo
v1	341	18	18	rfjten DS px ns Procopius Byblus OJUJQO BxiGTolag
v1	351	19	18	niis inx rns ryra rvhs nudabitur rivi fonte
v1	429	25	18	unedel schmutzig hallucina tion England bfi Rosenm ller
v1	479	28	18	istb Gebot auf Gebot Verbot auf Verbot Satz
v1	507	30	18	Hanes Tanis wai bsn Hanes Champollion Awaig Hnes
v1	527	30	18	npisn JCilj' ftdmEiv Brandstatte Scheiterhaufen ranxo hesterno von
v1	619	37	18	Subsidere nostris pedibus monies arescere vidimus amnes fregi
v1	647	39	18	smbs Croesus PSS niK zov otxov rwv aQWfidv
v2	26	40,later-introduction	18	ovdtv tP secretorum scrutatores blew Vbxs qx praeterita
v2	126	46	18	Belteshazzar Belesys Nebuzaradan Nabopolassar Nabonned res seein s'taa
