vol	page	chapter	n	suspects
v1	37	introduction	17	Poetica→poetical cotis→cats litura→literal incredulus→incredulous sagax→sage rerum→term unguem→undue voces→goes decies→dies temporis→temporal acti→acts occupet→occupy extremum→extreme Horace→race unguem→undue Persius→persia Virgil→virgin
v1	35	2	16	terly→very marg→part Maur→make terram→term wenn→were sich→sins erhebt→erect Erde→true bebt→left Maur→make anxn→aben sich→sins qu'on→upon faites→fate Gotzen→golden Silbers→silver
v2	106	44	16	nbis→this Gyndes→gender Thatof→that hbsia→asia rtett→text Astyages→stages literarn→literal sciens→sins intelligens→intelligent parvo→part apice→vice priori→priority Christologie→christology ttrn'→turn Strabo→straw Christologie→christology
v2	140	47	16	saidst→said downfal→downfall Curlius→curious nihil→nail wbis→this corruptius→corruption instructius→instruction Babylonii→babylon maxime→maxim vinum→vine quae→rule effusi→effusion ii's→sins nihil→nail nihil→nail Algiers→allies
v1	199	10	15	sume→sake ttna→tone Fiirst→firs ITSD→item itDn→iron intra→into fleeing→seeing bbtt→both Hezel→here orshall→shall xcHO→achor ueVi→evil erit→evil terrore→error einer→wine
v1	253	13	15	sidera→idea sein→sins lexx→left Hebr→head Bilder→wider Sterne→serve Himmel→himself sein→sins nicht→rich helle→here Sonne→gone gehet→meet Jinster→inter Mond→more dunkel→daniel
v1	297	14	15	JHJT→that personae→person rran→mean iriaa→prima Palaestina→palestine universum→universe pisia→lisa isia→idea Palestina→palestine hanc→have interpretationem→interpretation totam→total amplius→implies enim→evil communi→common
v1	326	17	15	ruinae→ruin Rezon→reign Rezon→reign Omnis→ones docet→does historia→history mundi→mind accidere→accident lusu→must quodam→quod Providentiae→providential Divinae→divine regna→rent iisdem→wisdom occidant→accident
v1	496	29	15	Nihil→nail consolationem→consolation velut→deut somnis→sons sitiens→cities quum→quod datur→data membris→members possit→post sitit→suit flumine→famine potans→plans Virgil→virgin staunt→sunt blindet→blind
v1	75	5	15	tiiYi→xiii bxin→been Deus→days ille→will ille→will Deus→days isipa→asia deserta→desert versa→very tarv→part aaia→data juxta→just ductum→dictum Bauer→base Durell→dwell
v1	186	10	14	instrurmint→instrument Asshur→assure Assur→issue veni→very vobis→ibis Assyrii→assyria wehe→were Assyrien→assyria Heus→head trie→this ille→will ipse→case tnrs→this eorum→form
v1	188	10	14	albrte→albert Calno→also prcbably→probable Calno→also Calneh→called Canneh→cannot Qrontes→quotes Arvad→read Rabba→rabbi Calno→also Calno→also Calno→also nicht→rich nicht→rich
v1	252	13	14	ntax→near ITSX→item vocat→goat merito→merit populi→popular enim→evil esse→less Intro→into crudeltm→cruelty judicem→juice putat→puts anaToi→anti zornig→morning pstn→pity
v1	274	14	14	spectres→species Holle→holy Hbhle→able Anglo→anger helan→head Holle→holy fiBn→fire rnbn→ruin spectres→species rntn→into unten→unto oben→then Chaldaer→chaldee DiTins→duties
v1	303	15	14	Hesbdn→heshbon Wady→made Hesban→husband nsrn→turn atbn→aben sbti→sets heroes→here Qwpot→spot heroes→here classicum→classics canant→cant faciant→faint tollant→holland sibi→sins
v1	408	23	14	iVrn→even Egypto→egypt animos→amos famam→fame Tyri→turn Egypten→egypt wenn→were Tyrus→true fuerit→merit Egypto→egypt niesa→lies Curtius→curious Carthage→carnage commerical→commercial
v1	54	3	14	dein→been Pobel→piel homines→dominus viri→very deine→wine tuum→them deine→wine entkr→inter ftet→meet desolata→desolate quae→rule erat→that Judaea→judah Capta→data
v1	572	34	14	lyivog→lying tiBp→time ululd→would jaculus→paulus habuit→habit rrna→rank fovei→foes fibss→firs ruinis→ruin altero→after Horace→race Priami→prima busto→must celant→cant
v1	228	11	13	thfti→that lafiid→laid nj'o→nebo mspb→moab rVbz→robe manum→many nisp→ness ixisn→ibis Parthia→partial Petrsea→persia Patures→nature Shinar→shear figuraatively→figuratively
v1	254	13	13	orbis→ibis terram→term universus→universe orbis→ibis Romanus→roman Ovid→evil meus→mean orbis→ibis fortium→fortify diminu→divine tion→then fi'is→firs avfa→afar
v1	292	14	13	Tnrx→turn lES'i→less Greece→grace Thrace→race Hungary→hungry terra→ezra atque→true suspicio→suspicion prophetiam→prophetic hanc→have loqui→loud hisce→hide nunc→none
v1	309	15	13	bfis→this Wady→made Ahsa→ahaz Wady→made Ahsy→they Kerek→were Gebal→meal Arnon→iron paix→page Ayall→fall heroes→here fiia→fire finbb→fine
v1	323	16	13	Mjoa→moon sieht→seat muhet→must Knobej→knobel zieht→might weint→wine m'aa→mean iripE→rise Ephraem→ephraim Syrus→syria Melech→elect nxba→nebo Tsta→data
v1	53	3	13	odour→four casa→data oivi→give zona→gone einen→wine mrpE→true niBp→nile rurps→turns fina→sins Pesh→less JTIK→join teint→ment adusta→dust
v1	587	35	13	ceux→deut TEternel→eternal paye→page rancon→canon nbis→this nnair→near monstrum→construe cept→left mecum→medium Dominum→dominus supplex→supply tempore→temple impleat→simplest
