vol	page	chapter	n	suspects
v1	579	35	7	ISIE→size animo→animal ferre→were recom→room penses→sense adducet→adduce retributionis→retribution
v1	626	37	7	Sethos→sets Sethos→sets Sethos→sets SGIM→seem valour→value Libnah→sibmah befell→fell
v2	10	40	7	ptna→para so'a→sons ptrja→para filbsB→fills iato→data paid→page paid→page
v2	46	42	7	ecce→each avOQ→amoz Hensler→hender Stte→sake vlog→vulg Gottes→goes njrp→harp
v2	126	46	7	Belteshazzar→belshazzar Belesys→bless seein→been s'taa→stay Xerxes→sexes iWESj→west x'fiv→xxiv
v2	137	47	7	SttB→sets Qwaos→ways resistet→resist mihi→mine venp→very eance→each downfal→downfall
v1	63	5	7	hasled→asked cour→four tesy→very amat→that colles→calls Virg→very Georg→glory
v1	73	5	7	revellers→travellers Holle→holy Hohle→holy adqs→acts aSBS→acts iafia→asia revellers→travellers
v2	211	50	7	allof→also jjie→join nemo→need necessario→necessary downfal→downfall fKia→fail apolo→pole
v2	240	52	7	Stimme→time iioq→zion avajj→avail aitti→anti sich→sins weideri→wider nwtt→next
v2	350	59	7	sondern→wonder sondern→wonder bislang→island waren→were pnsn→pain VKSS→less proferi→proper
v1	89	6	7	alterum→altered conversus→converts unitate→unite yixn→zion Wesen→were nixsa→lisa Nordh→word
v2	375	60	7	fenn→been inundatio→inundation Strabo→straw Shebn→then Modion→moon innog→into ntes'→ness
v2	418	63	7	mbnn→mean ra's→days Crowes→comes vsta→data parallelismo→parallelism diess→less Parallelismus→parallelism
v2	448	65	7	noke→sake noch→each sagt→page spbx→span Ipov→upon Thenius→theirs Hagg→page
v1	106	7	7	Tabeel→table faire→fire bresche→breach Tabcel→table Aramean→arabian Comm→room Albam→alas
v1	114	7	7	Bauer→base Hensler→hender Faber→aben veavie→leave Immanucl→immanuel rovro→roar olov→flow
v1	136	8	7	propera→proper direptio→direction filb→will deth→with Joash→josh mihi→mine ivgds→ings
v1	176	9	7	mustta→must Tnma→time sich→sins leiten→eaten lassen→asses DStt→data populo→popular
v1	194	10	6	moenia→media sicut→sick Fiirst→firs ssxa→asia pipio→pipe Trogus→troops
v1	222	11	6	feits→feet mninx→mine jThe→then rpsi→rest undoubt→doubt edly→only
v1	223	11	6	stB'n→stain ntst→must iian→mean Tian→then nisp→ness rtTx→rate
v1	231	11	6	Ahab→that Jehoash→jehovah rviin→vain nnbs→ones Tn's→this Neid→head
v1	240	13	6	facto→acts foreseen→foresee Horace→race Virgil→virgin Racine→race Aris→this
v1	262	13	6	lisw→less p'Un→pain StiJ→suit satyri→satyrs Apocal→local asiQ→asia
v1	267	14	6	WBCS→ways lyrt→part iria→idea eliget→light Mibi→mine nnsb→ness
v1	320	16	6	ronx→room fletu→feet jTns→sins nicht→rich aeque→argue absurde→absurd
v1	335	17	6	iitt→with Ovid's→david's Qualia→quasi faciunt→faint procul→proud sonat→seat
v1	341	18	6	rfjten→often IUBB→cube BIIE→time aiiaa→asia Iciki→icing rioi→room
v1	388	22	6	ntik→neck gayety→safety pbbn→aben fleeing→seeing MUpa→must vriJ→vain
v1	394	22	6	forgiven→forgive forgiven→forgive frin→from msiaj→asia forgiven'→forgive forgiven→forgive
v1	398	22	6	novov→novel xaxav→xxiv xaxoi→xxxvi rvni→rank naia→data France→race
v1	407	23	6	Zidon→zion Zidon→zion iS'a→idea tiso→this extuli→exult virgines→virgin
v1	422	24	6	revellers→travellers irnp→iron unda→unto lahm→last siias→sins fixn→fire
v1	443	26	6	IITKS→rites pafove→above embold→bold ened→used rrinb→ruin Gott→both
v1	510	30	6	nfcm→neck cameli→came nattj→matt raaj→read sitzt→size rrte→true
v1	543	33	6	personae→person possessio→possess nsnx→none avToig→avoid abana→aben heroes→here
v1	551	33	6	Capellus→cappellus TSib→this asba→asia gutture→future nulla→full Medo→mean
v1	558	34	6	volumen→column tempestas→tempest contraxit→contrast coelum→column sicut→sick nbss→less
v1	559	34	6	niai→isai Idumean→idumea ivie→evil voraus→morals Herods→hero Idumean→idumea
v1	601	37	6	Vist→must sattr→matt iwin→wine mainVi→main habeo→have Sardis→wards
v1	628	37	6	Ararat→apart Aramean→arabian Nergal→eral Ararat→apart Ararat→apart Ararat→apart
v2	13	40	6	tribus→tribe rVir→evil molem→more terra→ezra TQIU→this inyov→into
v2	16	40	6	uber→aben rrnn→ruin a'way→away nVcn→even allu→also sive→sins
v2	17	40	6	achten→acted pendens→renders staterae→stature pntf→into pntJ→into citlos→cites
v2	22	40	6	pflor→flow niis→this oblationis→oblation ttinn→thine sapiens→happens figtree→figure
v2	24	40	6	xoiJ→toil wollt→will nicht→rich wollt→will horen→more isahs→isai
v2	62	42	6	desolabo→desolate nisx→ness DCIU→dieu Pixd→pity cttis→this fiSBK→fish
v2	79	43	6	Fiom→from Targuin→targum lonians→loins sisb→sins tnrj→turn tvnsx→tense
v2	101	44	6	keinem→seine Falle→full passend→passed pasci→pass metaph→metal urative→native
v2	130	46	6	vxfire→fire fiiia→xiii niix→nile avdoi→avoid irsx→firs tirx→time
v2	160	48	6	quam→quod urgeo→urge neque→nexus nnea→idea na'ia→asia vocan→zoan
v1	66	5	6	amplius→implies vinae→wine meae→head noch→each meinem→mine thun→this
v1	70	5	6	Pesh→less Horace→race pocula→popular partem→part solido→sold Spernit→spirit
v2	271	53	6	contritus→contrite Martini→margin icaa→idea rxsn→ruin Martini→margin executus→execute
v2	309	55	6	Virgil→virgin ipsi→isai monies→ones psss→less Simonis→sions xovv→move
v2	338	58	6	aiss→sins morti→more fying→king subjectos→subject fiis→this Naboth→both
v2	341	58	6	rraa→read rrao→read fiftni→fifty Augustine→augusti seculi→secure perfectum→perfect
v2	344	58	6	Persius→persia rideto→ride digitum→dictum intende→incense digitum→dictum hunc→hand
v2	346	58	6	thcc→this sisa→sins cbi's→ibis rTrb→verb riri→fire terram→term
v2	353	59	6	i'Bs→ings rnsit→rest rnit→suit confotum→conform fnwi→anti schlange→change
v2	356	59	6	JIMES→time abxa→aben trrx→true Bauer→base gemitus→genius ipsum→issue
v2	484	66	6	comfortelh→comforted yrit→suit trostef→trusted rfes→sees Mannes→man's converso→convert
v2	500	66	6	Jian→mean erunt→sunt visionis→vision frojn→from partaken→partake dieth→with
v1	148	8	6	Cocreius→cocceius Deus→days vult→must perdere→perverse mentat→ment inti→into
v1	5	1	5	Ovid→evil habet→have nobis→ibis hbnb→hand abiit→about
v1	7	1	5	sicut→sick hostili→hostile a'pt→kept nasna→asia c'nt→ment
v1	15	1	5	wollt→will IJTS→into rjis→this fiov→from musset→must
v1	18	1	5	Arbeit→albert gegen→been purum→pure justae→just oiiD→kind
v1	187	10	5	populum→popular ofForerius→forerius populum→popular duriter→writer decrevi→decree
v1	215	10	5	Madmen→made JiPSh→josh fleeing→seeing for'a→form hitt→with
v1	225	11	5	hordei→order plures→pure gentium→genius foeno→foes riaig→rain
v1	290	14	5	mentiar→mental antitnesis→antithesis nipn→noun twefth→tenth Horace→race
v1	308	15	5	desolationes→desolation erunt→sunt herba→here viror→iron JSAIAH→saith
v1	318	16	5	overcame→overcome pTUB→paul missiones→mission Szalt→seat Ramoth→moth
v1	330	17	5	amiral→moral fiiis→firs iBrt→part IBSO→into fwia→fail
v1	333	17	5	culta→cuts habebit→habit wachsen→watchmen anss→less sntn→span
v1	24	2	5	Henders→render fitn→with yitn→with Hdwk→hewn Umbr→dumb
v1	389	22	5	wsttn→wette istb→into sittJ→site scutis→cuts Cesar→year
v1	401	22	5	hang→have XXXS→xxiv msss→must desio→devil maax→mean
v1	438	26	5	Heil→head geben→been Mauern→maker mici→much QiTei→site
v1	440	26	5	FiVrn→fire Jehovae→jehovah rupes→rule esscntiae→essential essentiae→essential
v1	447	26	5	DTia→data heroes→here laTQol→lation avaaT→vast covai→coal
v1	475	28	5	eine→sins Kranz→rank causa→case bello→well portam→mortal
v1	49	3	5	fucare→care Virg→very frech→rich werfend→defend rfin→pain
v1	521	30	5	ipse→case mihi→mine visus→views melius→genius nitent→tent
v1	532	31	5	fcia→fail transibit→transient fugit→suit casam→case Zwingle→single
v1	542	33	5	Spain→span pptts→puts giert→gift etre→true magnifie→magnify
v1	576	35	5	hoch→holy sprosst→sprout ganz→gone germinans→germans nrrt→part
v1	580	35	5	tion→then quibus→quis intelligere→intelligent licet→like allegoricum→allegorical
v1	592	36	5	Joah→both Joah→both tHBX→this SHBK→show Isay→isai
v1	594	36	5	ifthou→thou ansrn→angry Joah→both Aramean→arabian Aramean→arabian
v1	623	37	5	rrso→also trrnu→turn urno→turn avTo→into bisx→base
v1	624	37	5	Virgil→virgin portae→mortal juvat→just Dorica→africa videre→vide
v1	635	38	5	TPIEX→piel swii→suit rraia→rain Scheidius→schmidius vyei→view
v1	56	4	5	rnaa→read rres→sees Personale→personal Staates→state xmttE→wette
v2	30	40	5	Furst→must moulting→melting assument→assume Hensler→hender moulting→melting
v2	42	41	5	sraito→saith accedant→accent vestra→extra quae→rule esse→less
v2	88	44	5	utero→term esse→less liti→with nemo→need esse→less
v2	133	47	5	downfal→downfall Cowper→lower Cowper→lower downfal→downfall downfal→downfall
v1	64	5	5	Sorek→more lacus→acts eivi→evil adhuc→adduce uvis→this
v1	72	5	5	Hendew→hence Umbr→dumb ttfan→than fita→with nobiles→noble
v2	235	52	5	erns→sins GExa→next Sjna→sins IOBX→robe PSEP→used
v2	282	54	5	ONEPI→ones rnsn→ruin FQITS→firs Weib→were Herzens→heavens
v2	287	54	5	TjiBa→tribe ordinem→ordained rnsb→rest fisnj→fine ttEn→then
v2	298	55	5	denomi→denote euer→seer euer→seer hort→part pinsp→sins
v2	319	57	5	nulla→full probabilem→probable mjeans→mean denn→been denn→been
v2	321	57	5	nsis→this nVis→this onena→ones nstw→nest Mjit→must
v2	324	57	5	olivi→live Thales→thes dein→been lusus→less tnax→that
v2	330	57	5	xtea→idea holij→holy tiinj→thine cipa→city yisaix→isai
v2	336	57	5	ipso→into exchangintf→exchanging Deus→days meus→mean contends→content
v2	347	58	5	rvito→vitr Ilitzig→hitzig isnp→isai cinp→sins raits→acts
v2	355	59	5	tentious→mentions irpr→iron itli→isai Vitiinga's→vitringa's Croesus→cross
v1	98	6	5	Leere→were ening→king ftot→from extirpa→extra tions→sins
v2	414	63	5	Croesus→cross overthrown→overthrow Sardis→wards pisn→pity fiin→pain
v2	424	63	5	Itst→must rvro→hero niss→sins rtson→reason ipja→idea
v1	124	7	5	waJj→ways izna→ezra as'f→asia Joash→josh blosses→closes
v1	155	9	5	Christol→christ InMi→into innaia→india ussa→used navrl→nail
v1	172	9	5	OQOS→ones aaar→ahaz tumultum→tumult vertet→verse tumulum→tumult
v1	26	introduction	5	Jesaiah→isaiah Esaias→isaiah Haaia→asia pEij→pain ftex→foes
v1	58	introduction	5	Alexandria→alexandrian Gcsenius→genius Origen→arisen Alexandria→alexandrian Origen→arisen
v1	59	introduction	5	Michlal→michael Jophi→josh Melech→elect Abendana→abundant Fagius→fails
v1	66	introduction	5	lications→citations Critici→critic Sacri→sacred paid→page paid→page
v2	22	later-introduction	5	downfal→downfall Justi→must Bauer→base biassed→passed undertaken→undertakes
v1	16	1	4	urbs→arts Nor'dh→north scelus→scales vdan→mean
v1	21	1	4	butm→both ibsfe→issue theTme→them versa→very
v1	183	10	4	scribere→scribe statuta→stature laborem→laboured inra→ezra
v1	193	10	4	rviss→rise eorum→form fixa→fire eorum→form
v1	195	10	4	trotzen→trodden ta'nn→taken pluralis→plural sraft→seat
v1	196	10	4	reeino→rezin ardebit→ardent ardebit→ardent ardendo→ardent
v1	198	10	4	II'K→sick igne→wine Qyog→quod visvip→vivid
v1	204	10	4	consummatio→consummate dwaio→wait Gvry→very qaaS→days
v1	206	10	4	consummatum→consummate Asshur→assure IVSK→task Syro→tyre
v1	218	11	4	szkv→sake Bauer→base vald→land sfost→most
v1	219	11	4	srjrn→scorn JtEsn→test forti→form tude→true
v1	224	11	4	isia→idea attb→acts virp→very rophecy→prophecy
v1	236	11	4	intepretations→interpretation munita→unity SPSS→sins Ktst→must
v1	244	13	4	visio→vivid Christologie→christology Cito→with Ktea→idea
v1	261	13	4	Christol→christ VTIX→vain Strabo→straw tpmx→time
v1	269	14	4	btia→asia btiJE→time sri'n→sion rcmE→same
v1	285	14	4	aiab→ahaz gladio→glad gladio→glad nsns→sins
v1	287	14	4	lictores→pictures Kolln→kill Varr→part diis→this
v1	321	16	4	nemo→need Palul→paul wilden→wild Larm→part
v1	322	16	4	lafv→left totus→thus haoa→have ftao→fear
v1	348	19	4	xtea→idea vopoe→hope Sethos→sets resemb→resemble
v1	352	19	4	nitt→with sericum→serious iaax→isai ttisa→this
v1	366	19	4	XTiJ→xiii baniu→bank mbiB→main Graeco→grace
v1	25	2	4	movebunt→movement werden→were sich→sins Hendew→hence
v1	31	2	4	Pesh→less Pesh→less hominis→dominus Comm→room
v1	377	21	4	iafi→isai lai'a→laid ijjia→india nsiba→asia
v1	382	21	4	Seir→sees Seir→sees Seir→sees N'np→none
v1	410	23	4	Zidon→zion Zidon→zion nbina→nine Zidon→zion
v1	411	23	4	asaa→ahaz iiBS→sins Shinar→shear Tnir→this
v1	413	23	4	Jcing→king Jcing→king QOVO→move Zedekiah→hezekiah
v1	442	26	4	Ferse→were iofeet→feet souVs→sons Ruhm→room
v1	449	26	4	asnb→arab pova→post IOVO→into ttinb→thine
v1	450	26	4	iaSD→last greai→read eine→sins bafi→back
v1	457	27	4	Orjf→oral adog→amoz irna→idea fleeing→seeing
v1	467	27	4	Wady→made TTIK→this unseyen→unseen insb→sins
v1	471	28	4	istt→into irui→true terram→term rnsn→ruin
v1	476	28	4	taumelt→tumult njai→isai JixH→with functione→functions
v1	488	28	4	mrri→more Waizen→waken Reihen→reign Gerste→verse
v1	495	29	4	levibus→levites ventis→ments somno→sons spes→sins
v1	498	29	4	iiber→wider Schrift→christ iaaa→data rnsha→rush
v1	44	3	4	refisal→refusal Pesh→less medicus→medium Artzt→arts
v1	523	30	4	tottj→total treibe→tree fera→very travers→rivers
v1	525	30	4	fnons→sons ibia→idea recht→rich lang→many
v1	534	32	4	izrs→ezra srti→sort nsai→said atfl→atom
v1	550	33	4	Tc'y→they doctus→dictum legis→less accomptant→accompany
v1	561	34	4	Raumer→ruler Thibet→thine cfcn→corn Virgil→virgin
v1	573	34	4	tJOp→thou httSK→task irrs→ears Simonis→sions
v1	599	37	4	Joah→both Zedekiah→hezekiah Ahab→that Micaiah→micah
v1	609	37	4	DIIBD→died literae→literal Thibet→thine imms→rams
v1	627	37	4	abiit→about excessit→excess evasit→east erupit→fruit
v1	640	38	4	constructio→construct praegnans→pregnant cLfc→calf Metheg→gether
v1	647	39	4	smbs→sins Croesus→cross cellam→elam nals→days
v2	5	40	4	dsoii→soil qpow→show ittx→into esthetic→aesthetic
v2	19	40	4	rftis→rites Hype→have rion→room sint→sins
v2	26	40	4	blew→been Vbxs→ibis praeterita→preterite prophetica→prophetic
v2	35	41	4	ao'p→comp usus→thus xsin→sins Croesus→cross
v2	37	41	4	vpeit→veil TTOTS→tops ovres→over ssiti→suit
v2	39	41	4	trra→true mortui→mortal estls→evils redde→read
v2	60	42	4	efferat→effect desertum→desert pagos→page Petra→ezra
v2	61	42	4	zelo→well militaris→military peritus→merits riiOp→riot
v2	92	44	4	Witt→with riri→fire Jarch→each dMsre→more
v2	96	44	4	ttnn→then tincto→into ochre→care ltft→left
v2	104	44	4	httx→hath avrov→prov trtis→this madmen→made
v2	115	45	4	WECJ→were ibxiy→ibis xiiS→this rwst→must
v2	145	47	4	nnia→asia nescis→ness inttj→into inta→data
v2	148	47	4	nbns→sins esnb→esau nbra→ezra csnb→cant
v2	165	48	4	wenn→were animum→animal aures→sure animum→animal
v2	176	49	4	Jiia→join animo→animal tfssa→testa tokenof→token
v2	190	49	4	nimis→ibis toaov→took mihi→mine rrnex→renew
v1	69	5	4	itable→able hi'n→high reihen→reign iube→rule
v1	76	5	4	ibana→bank Theod→then Observ→observe Crit→suit
v1	78	5	4	fallax→fall hardi→hand heroes→here heroes→here
v2	198	50	4	Jihovah→jehovah Drirp→drop Selden→seen paid→page
v2	209	50	4	whoso→whom whoso→whom nssi→isai Trajan→train
v2	222	51	4	quivis→quis einem→wine sicut→sick sicut→sick
v2	225	51	4	uisx→wise IEJO→into Hdlle→hill sendcn→send
v2	236	52	4	bttSa→bats tohave→have triumphis→triumph fKSTa→fast
v2	261	53	4	bbina→bind deriva→drive bVna→bond Tribd→arid
v2	297	55	4	wohlan→woman aufl→paul omne→wine sitiens→cities
v2	317	56	4	Icnow→know tesa→less inat→that omnes→ones
v2	322	57	4	srri→sort Persius→persia Livy→give paid→page
v2	325	57	4	Lares→lies fina→sins rrcn→race psra→part
v2	327	57	4	cbira→bird quidem→quid imao→into l'sa→less
v2	332	57	4	teaa→head exor→door bitant→extant gingen→given
v2	335	57	4	purchas→purchased vpaTa→data ayQia→asia Ovid→evil
v2	340	58	4	crives→rites hang→have Ahab→that Tages→page
v2	357	59	4	atea→data pito→with whoso→whom wurde→were
v2	361	59	4	Jubb→just fpnn→span humour→hour overthrown→overthrow
v1	88	6	4	flics→lies natur→later Origen→arisen faciem→face
v2	382	60	4	innB→into copia→copy CWID→said rirpT→riot
v2	415	63	4	trtK→true Hagg→page contend→context Croesus→cross
v2	428	63	4	deine→wine grosse→rose sich→sins gegen→been
v2	435	64	4	rrij→ruin aquae→abuse igne→wine itini→icing
v2	450	65	4	sondern→wonder ausser→asses Boaz→both personae→person
v2	470	66	4	defin→rezin downfal→downfall Kritik→critic Herods→hero
v1	117	7	4	ashub→shut quidam→quid iiclL→will orpledges→pledges
v1	119	7	4	deserta→desert erit→evil renewea→renew Tsaiah→saith
v1	126	7	4	contri→centre butions→nations teta→data nihil→nail
v1	144	8	4	Orig→omit Joab→load Wipn→with piya→pity
v1	157	9	4	paid→page ogether→other aaia→data iiab→isai
v1	158	9	4	violenta→violent ttte→true solet→sole esse→less
v1	173	9	4	vollem→valley pleine→line inasn→ings Lehrg→learn
v1	15	introduction	4	TIQO→time prae→page praedico→predict TIQO→time
v1	23	introduction	4	Heberew→hebrew crai→isai ayio→also Philo→hill
v1	32	introduction	4	antiquirt→antiquity colourable→honourable GefM→left GefM→left
v1	36	introduction	4	ctical→critical Stat→that ratiom→atom voluntas→voluntary
v1	69	introduction	4	xxin→pain membra→member Horace→race Goethe→gether
v1	73	introduction	4	xxxvn→xxiv xxvm→xxiv xxxvm→xxiv ically→call
v2	14	later-introduction	4	Sweden→seen Spain→span downfal→downfall downfal→downfall
v2	26	later-introduction	4	heroes→here statesmen→statement foreseen→foresee ecially→equally
v1	8	1	3	turris→turns Comm→room rniis→ruins
v1	12	1	3	fi'W→view plenae→plea Theol→then
v1	13	1	3	causa→case causa→case totfi→total
v1	226	11	3	n'tf→note lacte→date kaum→paul
v1	237	12	3	piac→pity siiaj→sinai sttjy→stay
v1	248	13	3	Michlol→michael Jophi→josh irtv→into
v1	265	13	3	wohes→goes fyeen→been Milton→molten
v1	276	14	3	reden→been uraa→eral praegnans→pregnant
v1	282	14	3	quae→rule evidentia→evident diutius→duties
v1	294	14	3	miaa→mean hemmen→heaven avertet→avert
v1	295	14	3	Cyprus→cyrus paid→page Jehoram→jehovah
v1	314	16	3	fiWs→sins laran→earn harbour→labour
v1	315	16	3	Stfta→state n'ns→sins sxfa→safe
v1	316	16	3	boured→bore aturally→actually Ehtn→then
v1	344	18	3	nisten→listen liegen→siege Meroe→were
v1	361	19	3	rrni→rank FPiii→xiii principem→principal
v1	371	20	3	facie→race attJ→acts irbu→iron
v1	391	22	3	aafc→safe rnirn→ruin isirt→sort
v1	396	22	3	Joah→both Petra→ezra ftia→fail
v1	421	24	3	itbx→item fibnx→fine nbsx→ness
v1	425	24	3	inft→left formido→formed Milton→molten
v1	427	24	3	fiVia→five siaix→said foregoes→foregone
v1	433	25	3	diawB→draw laia→data raib→race
v1	436	25	3	inixn→union nnia→asia firtu→fire
v1	437	25	3	imsa→idea ixao→into amutt→must
v1	444	26	3	nxip→nail anyother→another bsstn→best
v1	448	26	3	nprn→span iisp→wise terrae→terror
v1	452	26	3	pEip→keep parogogic→paragogic Umibreit→umbreit
v1	455	26	3	nunc→none Aramean→arabian BSES→been
v1	458	27	3	inaccura→inaccurate cies→sins ttss→this
v1	477	28	3	tixis→this tellement→element plein→pain
v1	480	28	3	ftSW→flow nnwa→news fisjj→fish
v1	493	29	3	moeror→morrow heroes→here irmi→isai
v1	45	3	3	conata→cognate downfal→downfall Zedekiah→hezekiah
v1	513	30	3	sherd→head rvirs→firs Sherd→head
v1	524	30	3	SjSta→testa excidit→exhibit vriga→prima
v1	536	32	3	maJce→make ttjta→testa nphn→span
v1	546	33	3	firel→fire exerlasting→everlasting ignis→ings
v1	564	34	3	Petra→ezra Tafyle→table regulam→regular
v1	598	36	3	Joah→both confer→offer Joah→both
v1	604	37	3	Libnah→sibmah Libnah→sibmah Libnah→sibmah
v1	605	37	3	Strabo→straw xcoy→copy Tacitus→tacit
v1	612	37	3	tycs→this Greece→grace inbu→into
v1	615	37	3	IIBS→sins insiais→insists IPWS→jews
v1	620	37	3	TJPSI→tops Vtrr→very shouldt'st→shouldest
v1	629	38	3	evsia→evil trttM→truth roig→room
v1	631	38	3	urbs→arts ijsri→isai eventu→even
v1	637	38	3	seeii→sees ovou→over loth→with
v1	648	39	3	Hezc→head Jciah→judah ah's→this
v1	58	4	3	confer→offer unpoetical→poetical Pesh→less
v1	60	4	3	jiaa→lisa Hengst→height Hengst→height
v2	1	40	3	fcific→pacific popuh→pope dicet→vice
v2	2	40	3	natti→matt terita→merit prophetica→prophetic
v2	12	40	3	ovaa→over Melek→meet pirw→part
v2	21	40	3	tthn→then srfn→span Poel→goes
v2	51	42	3	personam→person efferet→effect dabit→wait
v2	54	42	3	ji's→sins pluralis→plural thett→then
v2	72	43	3	tlwu→town thysclj→thyself Meroe→were
v2	75	43	3	arxin→ruin educ→edge xrin→pain
v2	89	44	3	bles→been nstn→noun pris→this
v2	93	44	3	ipsi→isai vident→vide extraordinaria→extraordinary
v2	117	45	3	iino→sins Solinus→dominus longi→long
v2	123	45	3	Icnee→inde lyco→hypo Munde→made
v2	147	47	3	Tfnss→tense augures→argues coeli→joel
v2	157	48	3	Iknew→know Egypto→egypt ventre→centre
v1	68	5	3	Hendew→hence Umbr→dumb Milde→made
v1	71	5	3	noctem→note ducam→dual gayety→safety
v1	79	5	3	nsnb→none flamma→flame Flamme→lame
v1	81	5	3	Umbr→dumb vovg→vulg Hieroz→hero
v2	205	50	3	Horace→race Persius→persia contended→intended
v2	207	50	3	undertaken→undertakes contend→context contend→context
v2	229	51	3	ixfi→isai Hirsch→harsh awrhor→achor
v2	231	51	3	niin→pain rian→mean valour→value
v2	233	52	3	rvati→rate n'lJ→nile Tnus→this
v2	239	52	3	decorus→records iteaa→idea svog→show
v2	245	52	3	Schuster→cluster Judaismus→judaism historico→historian
v2	251	52	3	thoitgh→though rnida→ride Comm→room
v2	254	53	3	Martini→margin isatg→isai Martini→margin
v2	288	54	3	rrij→ruin bsna→bond sjnto→into
v2	315	56	3	alterna→altered tions→sins aetate→state
v2	316	56	3	imma→idea terial→eral fiYn→fire
v2	328	57	3	Zwingle→single Thenius→theirs bsrj→bore
v2	342	58	3	n'ma→name vagos→amos arog→from
v2	360	59	3	scopi→copy singularum→singular vocum→volume
v2	367	59	3	icor→door befcr→bear exampie→example
v1	86	6	3	facie→race facto→acts nanx→many
v2	372	60	3	pirnn→iron Chardin→chain latere→late
v2	395	61	3	Alexandria→alexandrian coronam→horonaim cinere→winer
v2	398	61	3	Scheid→shed remarkaable→remarkable Achaia→chain
v2	405	62	3	justum→just tuurn→turn tuum→them
v2	407	62	3	bsii→isai vth's→this plaralis→plurals
v2	411	62	3	asjn→aben Worte→were eadem→made
v2	423	63	3	repreted→repeated seni→sins rjtl→real
v2	427	63	3	Frana→rank isnan→span Hagg→page
v2	440	64	3	ftns→sins finx→sins ifora→form
v2	473	66	3	oitn→with tanv→than ciiing→icing
v2	476	66	3	transl→trans iting→king pluralis→plural
v2	482	66	3	undertaken→undertakes nefl→left betne→been
v2	495	66	3	counes→ones rinsa→sins rmao→read
v1	103	7	3	frft→from conferred→inferred Teiche→teach
v1	131	7	3	tfii→this fijft→lift Boswell→bowels
v1	140	8	3	nsrt→part Arrian→syrian iTbs→item
v1	141	8	3	acsi→acts terra→ezra erit→evil
v1	142	8	3	seyd→head Volker→older TBtn→then
v1	143	8	3	existet→exist existet→exist ayity→pity
v1	152	8	3	vasrt→part arbi→arts trary→targ
v1	153	8	3	poterit→posterity nspn→span Galilaea→galilee
v1	154	9	3	Fiirst→firs MaVs→days msba→asia
v1	174	9	3	Comm→room fiss→sins paax→page
v1	175	9	3	fcODS→foes istj→into expresison→expression
v1	179	9	3	rapiet→rapid isaas→isai avrov→prov
v1	33	introduction	3	Onias→ones eventu→even Vatke→sake
v1	41	introduction	3	leoa→left ayiai→asia prophetam→prophet
v1	44	introduction	3	foreseen→foresee priori→priority eventu→even
v1	57	introduction	3	Uzziel→uzziah Ephrem→ephraim Syrus→syria
v1	61	introduction	3	Halle→have Critici→critic Sacri→sacred
v1	64	introduction	3	lexica→lexicon sapere→super Criticus→critic
v1	14	preface	3	tPTO→into iftb→into blem→them
v1	20	1	2	personae→person Terebinthen→terebinth
v1	202	10	2	iftsa→gifts Hagg→page
v1	230	11	2	elliptica→elliptical HezeJciah→hezekiah
v1	235	11	2	Suez→sees Gyndes→gender
v1	238	12	2	iJfS→ings njrn→turn
v1	239	12	2	rsTia→asia stpa→span
v1	247	13	2	Croesus→cross rranb→rank
v1	256	13	2	njrt→part OJJS→ones
v1	268	14	2	Stamme→same buWith→with
v1	271	14	2	rvna→rank rvna→rank
v1	277	14	2	peaa→head unter→unto
v1	299	14	2	lotg→both ii'a→idea
v1	301	15	2	Arnon→iron Rabbath→sabbath
v1	327	17	2	Rabbah→rabbi Arnon→iron
v1	328	17	2	itts→into quidem→quid
v1	334	17	2	Tpia→this tSwx→town
v1	345	19	2	Sethos→sets Onias→ones
v1	350	19	2	lixia→lisa nsts→acts
v1	356	19	2	ofJudah→judah mincj→mine
v1	23	2	2	Justi→must Vogel→joel
v1	375	21	2	ariaa→arab facto→acts
v1	378	21	2	appals→apply nsst→must
v1	380	21	2	rvnK→link aprefatory→prefatory
v1	383	21	2	Bauer→base Rosemmjller→rosenmuller
v1	385	21	2	jsoJs→sons heroes→here
v1	406	23	2	Melo→mean inttS→into
v1	409	23	2	nxan→mean dese→were
v1	416	23	2	Johovah→jehovah PTIS→this
v1	432	25	2	nasn→last Bauer→base
v1	435	25	2	nraiB→arab Iceri→keri
v1	462	27	2	xxvn→oxen ftasi→task
v1	465	27	2	IBS'→ibis afflic→afflict
v1	478	28	2	intelligere→intelligent faciet→fact
v1	481	28	2	ibitis→ibis aaJM→palm
v1	492	29	2	heroes→here xxvin→xxiv
v1	494	29	2	necro→hero mancer→anger
v1	497	29	2	ethe→then cntri→anti
v1	39	3	2	vowtt→lowth Symm→same
v1	42	3	2	ratione→nation Uitu→with
v1	529	31	2	Thebes→thes Thebes→thes
v1	530	31	2	rtin→pain iiber→wider
v1	537	32	2	plango→plan i'isb→ibis
v1	553	33	2	cipa→city c'lj→call
v1	563	34	2	Virgil→virgin Volney→money
v1	588	36	2	xxxn→oxen phers→here
v1	600	37	2	fvix→evil nsxa→next
v1	606	37	2	naia→data iven→then
v1	610	37	2	Bahr→back ipse→case
v1	614	37	2	izifn→zion ihern→then
v1	634	38	2	rifiD→rapid nxwb→news
v1	644	38	2	signl→sins volumi→column
v2	15	40	2	jstn→just insn→sins
v2	25	40	2	Melek→meet minuta→minute
v2	27	40	2	Zwingle→single ttss→this
v2	36	41	2	amans→many aJUt→deut
